attach,BXRTUECDFSOVOUTOXIAURFTHQTPKKBQDAOYKJLIQWAPHYPBBWFPCBRPMJEBSXQHVN9FHETQTJJBIOSGEA https://wallet1.iota.town:443 score: 0.8474475905963853
57831,0
45154,1
-1,3
98796,2
168020,4
238670,5
314061,6
374842,7
555263,8
610200,9
615067,10
-1,13
-1,14
-1,12
-1,11
-1,17
-1,18
-1,19
-1,20
-1,16
-1,23
-1,28
-1,22
-1,21
-1,26
-1,25
-1,24
-1,15
-1,30
-1,31
-1,32
-1,33
-1,34
-1,35
-1,27
-1,29
-1,36
-1,37
-1,38
-1,39
-1,40
-1,41
-1,42
662335,43
