attach,CWWE9KEATPXJEJP9DXZMFTWYEFIGKOISHZCLHDXLIBMUMXRGHESNGIMTDBEFSQUPPFROXOWXNJUGFYPCD https://node-iota.org:14267 score: 0.7750995521832026
47604,0
50204,1
123733,2
141987,3
237087,4
287680,5
365037,6
505258,7
588608,8
613770,9
597889,11
-1,15
574959,12
-1,10
-1,19
-1,20
-1,18
-1,21
-1,17
-1,22
-1,23
-1,16
638552,13
-1,24
-1,25
680311,14
-1,39
-1,33
-1,34
-1,28
-1,27
-1,32
-1,37
-1,31
-1,30
-1,29
-1,38
-1,40
-1,41
-1,42
-1,36
-1,35
-1,26
