id, latitude, longitude, timestamp, executionTime
0, -22.923943, -43.177799, 2020-02-28T13:30:48.557Z, 1570
1, -22.924776, -43.179428, 2020-02-28T13:31:58.577Z, 906
2, -22.925875, -43.179329, 2020-02-28T13:32:33.608Z, 1817
3, -22.928761, -43.179279, 2020-02-28T13:33:43.636Z, 2049
4, -22.930351, -43.178955, 2020-02-28T13:34:53.691Z, 2959
5, -22.930725, -43.179085, 2020-02-28T13:35:28.721Z, 1813
6, -22.931084, -43.179314, 2020-02-28T13:36:37.789Z, 847
7, -22.931461, -43.179459, 2020-02-28T13:37:48.844Z, 993
8, -22.932478, -43.182209, 2020-02-28T13:38:58.910Z, 2201
9, -22.932751, -43.183285, 2020-02-28T13:39:33.971Z, 849
10, -22.93276, -43.183285, 2020-02-28T13:40:07.983Z, 1431
