attach,https://nodes.thetangle.org:443 score: 111.41440983804424 scoreNorm: 0.49570587322328746
4007,211,0
1535,173,1
341,747,2
391,1562,3
317,78,4
2178,200,5
1239,737,6
488,120,7
401,224,8
697,13949,9
306,145,10
6565,135,11
568,9425,12
945,96,13
560,131,14
750,97,15
357,147,16
397,16839,17
858,71,18
807,4068,19
823,93,20
6152,1289,21
970,370,23
633,124,24
520,115,26
478,151,27
586,107,28
478,752,29
774,739,30
934,129,31
532,1186,32
-1,-1,22
384,141,33
346,722,34
-1,-1,25
392,128,35
233,639,36
522,123,37
525,1622,38
610,156,40
1597,20316,39
687,130,41
1420,713,42
621,137,43
1635,13146,44
