attach,https://node02.gubiota.ch:443 score: 40.23755051563931 scoreNorm: 0.17902522791903933
591,76,0
579,269,1
51261,40803,2
12437,25740,3
12237,15170,4
627,99,5
601,61,6
1067,63,7
-1,-1,9
-1,-1,8
-1,-1,10
-1,-1,11
-1,-1,12
88694,72590,13
27715,74216,14
11727,61987,15
100594,12004,16
-1,-1,18
-1,-1,17
108644,14069,19
77908,42528,20
-1,-1,21
1085,97773,22
9290,14542,23
1636,62,24
53754,71007,25
-1,-1,27
-1,-1,26
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
114802,21785,34
62038,1200,35
-1,-1,36
86151,42828,37
-1,-1,38
-1,-1,39
81126,68389,40
114956,51743,41
-1,-1,42
