attach,https://iotanode.world:14267 score: 62.634641122681366 scoreNorm: 0.3286323369832939
3710,7278,0
14243,22807,1
17212,28392,2
2158,15786,3
6923,45319,4
61773,53994,5
20956,23228,6
13494,99088,7
49029,158129,8
7679,291202,9
-1,-1,10
-1,-1,13
-1,-1,12
170431,245599,11
-1,-1,17
-1,-1,16
227313,266006,14
-1,-1,15
-1,-1,20
-1,-1,21
225430,271771,18
-1,-1,19
245873,154750,22
183851,222435,23
360271,15624,25
-1,-1,26
-1,-1,24
212678,209218,27
-1,-1,28
-1,-1,30
-1,-1,31
149385,290927,29
-1,-1,34
-1,-1,35
-1,-1,33
238636,228519,32
192717,260817,36
-1,-1,38
-1,-1,39
-1,-1,37
181390,254885,40
-1,-1,43
-1,-1,42
-1,-1,41
143336,244801,44
