attach,http://173.249.50.233:14265 score: 41.663793168649285 scoreNorm: 0.21860218995720587
-1,-1,0
-1,-1,1
-1,-1,2
-1,-1,3
-1,-1,4
-1,-1,6
-1,-1,5
-1,-1,8
-1,-1,7
-1,-1,9
-1,-1,11
-1,-1,10
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,15
-1,-1,19
-1,-1,20
118910,20388,21
41883,84845,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,30
-1,-1,29
-1,-1,32
-1,-1,31
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,38
-1,-1,37
3907,68061,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
