attach,https://hanspetzersnode.org:14267 score: 75.74611786566675 scoreNorm: 0.3233166622909102
666,60,0
443,59,1
373,66,2
462,60,3
422,60,4
5729,856,6
39965,25351,5
724,79,7
2242,89,8
475,48,9
634,48,10
703,61,11
18537,75,12
832,67,13
434,68,14
575,48,15
494,59,16
305,79,17
3667,78,18
548,79,19
523,80,20
482,47,21
362,67,22
713,48,23
34856,2919,24
747,48,25
668,61,26
250,48,27
14983,48,28
4989,75,29
291,67,30
1120,49,31
581,61,32
308,84,33
303,60,34
8821,690,35
410,48,36
759,88,37
566,55,38
687,80,39
1081,47,40
420,72,41
374,47,42
-1,-1,44
-1,-1,43
