attach,https://wallet2.iota.town:443 score: 60.59142546793993 scoreNorm: 0.2586299865622869
26035,189988,1
236167,274465,0
103149,374118,2
61513,376359,3
28125,373741,4
213665,152111,5
153196,158199,6
71635,190204,7
61218,205120,8
156933,713,9
250622,38931,10
93374,8674,14
64156,258455,11
152092,286045,13
267987,169948,15
68662,539207,16
-1,-1,12
-1,-1,22
-1,-1,21
-1,-1,20
-1,-1,23
-1,-1,19
573208,197802,17
340117,572861,18
-1,-1,27
-1,-1,28
-1,-1,29
550358,303707,24
416677,439950,25
352949,522276,26
591943,57847,30
436234,209403,31
383176,292507,32
-1,-1,36
-1,-1,35
239761,493842,34
260368,470284,33
-1,-1,40
-1,-1,39
-1,-1,38
-1,-1,41
356007,497752,37
568139,279536,42
468159,402476,43
415808,463212,44
