attach,https://nodes.thetangle.org:443 score: 89.05902667442065 scoreNorm: 0.4069178010799934
1321,11662,0
721,1667,1
695,10103,2
456,1555,3
-1,-1,4
398,1762,5
945,1574,6
1219,3156,7
10375,1064,8
1184,6679,9
1432,10249,10
538,18484,11
788,2326,13
-1,-1,12
640,1625,14
1826,9176,15
1159,6093,16
1380,3029,17
19988,5907,18
472,43089,19
1335,22293,20
544,23281,21
735,25273,22
520,708,23
470,33559,24
417,733,25
639,1963,26
619,1217,27
548,5334,28
798,10887,29
808,15694,30
864,24466,31
496,28370,32
-1,-1,33
3372,4061,34
1134,1156,35
10096,2621,36
679,4132,37
26543,4297,38
1820,11504,39
878,23225,40
1551,28685,41
693,25982,42
493,3128,43
719,4412,44
