attach,https://wallet1.iota.town:443 score: 54.89061670303345 scoreNorm: 0.4924117726238561
66403,0
117421,1
185231,2
177054,3
172511,4
26961,5
12051,6
20083,7
24248,8
8201,9
23665,10
13691,11
93578,12
119335,13
77539,14
52824,15
30978,16
30428,17
30034,18
4706,19
17375,20
132073,22
218263,21
114950,23
102455,24
59892,25
53418,26
29210,27
6334,28
35155,29
6597,30
63125,31
67201,32
109807,33
164114,34
122906,35
74000,36
41020,37
34365,38
9389,39
20052,40
5827,41
3760,42
24147,43
84620,44
