attach,http://node06.iotatoken.nl:14265 score: 53.83534248570034 scoreNorm: 0.48294513735589173
15285,0
11912,1
10526,2
10441,3
4633,4
3511,5
7064,6
16021,7
31820,8
12851,9
9226,10
18308,11
8868,12
2442,13
18079,14
4088,15
14855,16
18199,17
7292,18
15773,19
15896,20
5090,21
16820,22
243402,24
188812,25
142804,26
98580,27
68874,28
376605,23
43815,29
18952,30
57895,31
23072,32
13913,33
10963,34
12630,35
10053,36
8646,37
18483,38
5431,39
16037,40
21491,41
6228,42
12711,43
12090,44
