attach,http://174.141.204.79:14265 score: 2.231341423828249 scoreNorm: 0.01730703387649995
22165,0
110150,1
81431,2
90592,3
113162,4
130889,5
117004,6
120519,7
83555,8
103951,9
117500,10
122164,12
122192,13
344755,11
260493,14
223731,15
199371,16
201470,17
216725,18
240440,19
251956,20
301003,21
260323,22
245578,23
240019,24
210542,25
56902,26
26277,27
32094,28
8499,29
18462,30
41205,31
68410,32
25271,33
11267,34
29642,35
19793,36
12154,37
29161,38
109512,39
35202,40
22412,41
41891,42
36126,43
22261,44
