attach,https://nodes.thetangle.org:443 score: 105.76223254257374 scoreNorm: 0.46098708659601567
507,2085,0
4735,3536,1
407,951,2
482,9230,3
522,3451,4
297,2989,5
367,5456,6
842,463,7
339,980,8
749,4077,9
645,1695,10
928,1682,11
470,1814,12
553,8284,13
1030,12724,14
524,30463,15
1315,3440,16
321,1161,17
1839,2006,18
1338,1210,19
1121,10139,20
1899,19239,22
506,27459,23
764,33352,24
726,1333,25
1937,3724,26
881,963,27
859,1007,28
26874,1507,29
679,9302,30
-1,-1,21
1658,12625,31
5104,17277,32
742,21728,33
444,32703,34
1983,4481,35
45230,1157,36
-1,-1,37
416,43676,38
363,1896,39
883,1352,40
608,7027,41
1801,17698,42
964,18976,43
957,21353,44
