attach,https://piota-node.com:443 score: 7.459920247395833 scoreNorm: 0.06702225386719479
12575,0
36212,1
42918,2
7834,3
5260,4
3752,5
4310,6
13123,7
15018,8
32413,9
46589,10
53422,11
62902,12
14314,13
111902,14
30435,15
9845,16
31571,17
9909,18
1095,19
22026,20
26123,21
15755,22
83800,23
57908,24
28997,25
21140,26
30340,27
18353,28
8938,29
15116,30
21946,31
14627,32
13704,33
7402,34
7133,35
27002,36
87023,37
74336,38
98604,39
86766,40
38631,41
21747,42
64867,43
45069,44
