attach,https://nodes.thetangle.org:443 score: 117.38160309866574 scoreNorm: 0.6311009169812549
588,22632,0
-1,-1,1
445,14586,2
362,2701,3
662,2072,4
452,2876,5
633,1327,6
944,1367,7
637,5558,8
719,2878,9
452,5241,10
643,1172,11
456,11408,12
239,27843,13
591,13824,14
394,63125,15
235,6094,16
622,2639,17
676,1711,18
1533,2807,19
516,5106,20
358,8473,21
548,13367,22
614,18246,23
1252,36686,24
520,32731,25
779,2140,26
263,1487,27
-1,-1,28
901,11492,29
481,17066,30
435,11783,31
-1,-1,32
416,19212,33
482,21752,34
738,3353,35
683,760,36
376,19530,37
-1,-1,38
339,2784,39
337,9245,40
380,16584,41
609,19361,42
602,29202,43
5625,32029,44
