attach,https://wallet1.iota.town:443 score: 117.794052028656 scoreNorm: 1
83546,0
26388,1
26518,2
95610,3
111478,4
118759,5
107276,6
253497,7
285444,8
267231,9
335472,10
283936,11
268963,12
329292,13
367259,14
408744,15
539602,16
588541,17
613857,18
-1,19
626582,20
690410,21
-1,23
683250,22
711589,24
706984,25
-1,27
704304,26
733069,28
-1,30
-1,31
-1,32
780258,29
803768,33
-1,38
-1,37
-1,36
-1,39
844378,34
-1,35
-1,44
-1,43
966661,40
-1,42
979548,41
