attach,https://node02.gubiota.ch:443 score: 39.35750342463748 scoreNorm: 0.16426709995137315
11920,36633,1
96593,16616,0
927,55,2
14927,59,3
835,56,4
936,72,5
931,40938,6
41727,40376,7
64012,12404,8
103298,17001,9
-1,-1,11
107149,82459,10
49093,60500,12
49576,73568,13
-1,-1,14
-1,-1,16
73162,105317,15
92471,85195,17
-1,-1,18
-1,-1,20
-1,-1,19
91090,54079,21
59818,89021,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,28
-1,-1,27
-1,-1,29
-1,-1,30
115034,16377,31
31207,105509,32
-1,-1,33
77236,28494,34
47541,15751,35
35855,13251,36
3275,18023,37
779,58,38
28129,8094,39
1036,53,40
9780,2130,41
9843,12999,42
