attach,HORUR9PNFZRFESQDQU99NIGJZYYPDJLQGVWJREACTCZ9GGMNERQPQOBXBUGOOQZWXFSPWYKMDBZHYBTHN https://pow.iota.community:443
37139,0
-1,2
-1,4
-1,1
-1,5
-1,6
-1,7
-1,9
-1,8
-1,10
-1,3
-1,11
-1,15
-1,16
-1,18
-1,17
-1,19
-1,20
-1,21
-1,22
-1,23
449106,12
438857,13
-1,25
-1,24
-1,26
-1,27
-1,29
-1,28
-1,30
-1,31
-1,33
-1,14
-1,32
-1,35
-1,39
-1,38
-1,37
-1,40
377125,34
-1,43
378051,36
-1,44
529801,41
601165,42
