attach,XEHLMOGMYEIZDNFQCS9VRUZEGVKBTJDCLMDQ9OQARZHQGKLBN9EJL9FXRYAHUCEOXKMXCRJLJGNBLXLNX https://node01.gubiota.ch:443
-1,3
-1,4
-1,5
-1,6
-1,7
-1,8
-1,1
-1,11
-1,12
538571,2
691296,0
-1,13
-1,10
-1,16
-1,17
-1,18
-1,19
-1,14
487507,9
-1,21
-1,22
-1,24
-1,25
-1,20
-1,26
-1,29
-1,15
-1,28
-1,31
-1,33
-1,34
-1,32
-1,23
-1,35
-1,36
295414,30
-1,27
-1,41
-1,38
-1,42
461914,37
412954,39
-1,40
-1,43
-1,44
