attach,GISEXIWVEZPWQVWIOSBZSNRDO9Q9KRWVFVRFIETGKCZMBZIKHMTLYCA9ACODCUSQ9RMQHSVQKUXQBUADK https://pow.iota.community:443
-1,0
-1,5
-1,2
-1,6
241016,1
-1,3
-1,9
-1,10
-1,11
-1,13
406090,4
-1,12
-1,15
-1,16
453345,8
511420,7
-1,17
-1,19
-1,20
-1,21
-1,22
-1,18
-1,23
-1,24
-1,14
-1,25
-1,29
-1,30
-1,33
-1,31
-1,28
-1,32
-1,26
-1,34
-1,27
-1,37
-1,36
-1,39
-1,40
-1,38
-1,42
463678,35
-1,41
