attach,http://mandelhost.de:14265 score: 81.78847675323487 scoreNorm: 0.33156564210485534
50763,0
59220,1
97660,2
81141,3
21726,4
7575,5
62791,6
31570,8
114743,7
93258,10
219071,9
247426,11
254232,12
229083,13
318632,14
293600,15
251865,16
315929,17
395724,18
391997,19
368024,20
401057,21
588554,22
597866,23
607245,24
628949,25
648896,26
643925,27
680223,28
700525,29
795843,30
771661,31
817240,32
903771,33
993195,34
941001,35
971652,36
1024309,37
1023849,38
1055101,39
1152714,40
1191867,41
1192164,42
1210187,43
1327115,44
