attach,https://wallet1.iota.town:443 score: 141.17278761863707 scoreNorm: 0.5723061222393341
5724,0
32604,1
60591,2
52721,3
22549,4
145123,5
87199,6
192176,7
278921,8
305009,9
320477,10
257175,11
231286,12
208511,13
188447,14
171340,15
189033,16
180419,17
202498,18
211349,19
315483,20
392849,21
426846,22
419806,23
407542,24
473460,25
453760,26
460507,27
461767,28
498959,29
514512,30
507135,31
553862,32
555734,33
556798,34
542179,35
468264,36
460719,37
494794,38
463166,39
474065,40
527157,41
498558,42
458015,43
