attach,http://5.189.141.225:14265 score: 46.322775993347165 scoreNorm: 0.32929280633820407
27253,0
36953,1
139937,2
95167,4
117051,5
212807,3
77408,6
70318,7
22745,8
119917,9
116286,10
60073,11
107496,12
50224,14
162159,13
136476,15
112647,16
176176,17
222841,18
251099,19
277194,20
318083,21
380767,22
467488,23
543073,24
708837,25
611786,26
615592,27
649622,28
767673,29
764160,30
776577,31
874191,32
855473,33
920746,34
990971,35
1084664,36
1103098,37
1160654,38
1160152,39
1210313,40
1228243,41
1219771,42
1230797,43
1248754,44
