id, latitude, longitude, timestamp, executionTime
0, -22.923943, -43.177799, 2020-03-07T22:47:03.673Z, 127
1, -22.924776, -43.179428, 2020-03-07T22:48:13.683Z, 84
2, -22.925875, -43.179329, 2020-03-07T22:48:48.760Z, 80
3, -22.928761, -43.179279, 2020-03-07T22:49:58.787Z, 63
4, -22.930351, -43.178955, 2020-03-07T22:51:08.811Z, 55
5, -22.930725, -43.179085, 2020-03-07T22:51:43.821Z, 64
6, -22.931084, -43.179314, 2020-03-07T22:52:52.843Z, 42
7, -22.931461, -43.179459, 2020-03-07T22:54:03.858Z, 40
8, -22.932478, -43.182209, 2020-03-07T22:55:13.883Z, 45
9, -22.932751, -43.183285, 2020-03-07T22:55:48.906Z, 44
10, -22.93276, -43.183285, 2020-03-07T22:56:22.911Z, 74
