attach,https://nodes.thetangle.org:443 score: 95.19061161341293 scoreNorm: 0.49944747176106696
554,7809,1
-1,-1,0
572,5067,2
635,2358,3
509,9114,4
558,10346,5
580,334,6
771,944,7
3008,6424,8
472,11934,9
588,2532,10
1202,689,11
515,1196,12
-1,-1,13
831,22567,14
596,4186,15
468,666,16
886,4147,17
678,5295,18
662,1485,19
565,547,20
32202,4840,21
881,2079,22
563,5567,23
1644,728,24
455,2287,25
1454,3625,26
-1,-1,27
594,2535,28
569,2274,29
585,1591,30
583,3879,31
1431,3379,32
474,1572,33
476,1657,34
588,1006,35
669,1388,36
4041,20630,37
543,1828,38
572,2248,39
1426,897,40
735,957,41
477,1776,42
437,2176,43
390,44834,44
