attach,https://dyn.tangle-nodes.com:443 score: 62.67323363339662 scoreNorm: 0.3288348247242481
-1,-1,0
1311,8391,1
-1,-1,2
-1,-1,3
672,8020,4
-1,-1,5
-1,-1,6
685,13461,7
-1,-1,8
1640,5502,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
1166,15460,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
24036,10053,24
-1,-1,25
-1,-1,26
-1,-1,27
2145,18289,28
1026,9478,29
-1,-1,30
-1,-1,31
1044,5933,32
1126,3441,33
-1,-1,34
2055,791,35
898,6077,36
1217,3221,37
-1,-1,38
-1,-1,39
617,10315,40
811,4090,41
1453,9923,42
