attach,https://node02.gubiota.ch:443 score: 41.214624962752694 scoreNorm: 0.2162454877464713
-1,-1,0
-1,-1,1
-1,-1,3
-1,-1,2
-1,-1,4
-1,-1,6
-1,-1,5
-1,-1,8
-1,-1,7
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,15
-1,-1,16
-1,-1,14
-1,-1,17
-1,-1,18
38806,7074,20
45253,75566,19
64700,60953,21
-1,-1,23
-1,-1,22
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,28
-1,-1,27
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,33
-1,-1,32
-1,-1,34
30926,92335,35
-1,-1,36
-1,-1,37
-1,-1,39
-1,-1,38
56664,67716,40
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
