attach,https://trinity.iota-tangle.io:14265 score: 91.63555367426439 scoreNorm: 0.4220919449998933
625,88,0
546,105,1
487,101,2
687,91,3
1252,84,4
719,86,5
453,102,6
2386,103,7
583,80,8
861,104,9
581,94,10
474,89,11
466,556,12
1551,98,13
1218,103,14
484,84,15
721,92,16
526,133,17
1111,86,18
598,79,19
649,97,20
528,158,21
833,127,22
771,101,23
1103,75,24
852,82,25
588,67,26
1346,68,27
313,68,28
444,104,29
492,74,30
419,90,31
673,444,32
814,83,33
462,89,34
615,86,35
407,71,36
593,66,37
4214,83,38
989,78,39
460,104,40
298,102,41
1614,84,42
