attach,https://nodes.thetangle.org:443 score: 117.5338271374649 scoreNorm: 0.5840768574369057
469,5589,0
752,821,1
808,752,2
13631,600,3
554,1088,4
-1,-1,5
1178,10710,6
1667,17913,7
1219,21600,8
719,31572,9
667,2402,10
418,1854,11
568,22617,12
611,9779,13
286,8632,14
553,4879,15
332,5620,16
1292,1461,18
-1,-1,17
443,18559,19
703,2672,20
4227,5629,21
647,2827,22
11682,694,23
1288,619,24
985,7814,25
47730,18969,26
-1,-1,27
509,51449,28
1003,2154,29
1532,31833,31
1041,3971,32
595,3334,33
1103,290,34
751,8348,35
1280,53257,36
-1,-1,37
387,2660,38
-1,-1,30
3555,808,40
1487,2480,41
974,2176,42
-1,-1,39
