attach,http://mandelhost.de:14265 score: 68.36007190704345 scoreNorm: 0.2908314687247063
432,254,0
5962,523,1
47299,47,2
1577,48,3
28380,37946,4
25131,28139,5
6003,76,6
1355,39,7
6257,13458,8
2886,63,9
5831,12747,10
22137,1266,11
5488,1800,12
25342,2255,13
26224,3537,14
951,17741,15
21144,2704,16
3568,598,17
41015,17828,18
35994,59886,19
32730,41982,20
4046,83844,21
40384,8290,22
21670,38144,23
50395,1010,24
9451,28443,25
2924,57457,26
35855,14153,27
33560,106384,28
97935,400,29
25362,49473,30
-1,-1,32
-1,-1,31
-1,-1,33
1149,44,34
998,44,35
15695,351,36
-1,-1,37
-1,-1,38
573,53,39
885,38,40
2038,44,41
2252,51,42
1057,43,43
-1,-1,44
