attach,http://167.86.108.113:14265 score: 0 scoreNorm: 0
1805,35,0
3985,61,1
1820,53,2
1763,48,3
1741,31,4
1787,53,5
2224,47,6
1713,1649,7
2373,14023,8
3819,36,9
1591,28,10
1894,46,11
1747,59,12
1487,29,13
1846,27,14
1986,40,15
1624,46,16
2036,39,17
2063,46,18
1987,38,19
1626,35,20
1921,47,21
1698,43,22
1778,51,23
1647,31,24
1756,26,25
1603,46,26
1759,49,27
1729,38,28
1496,45,29
1535,51,30
2112,44,31
1593,49,32
17133,1055,33
1724,25,34
1683,26,35
1926,43,36
1762,25,37
1692,25,38
1932,39,39
1811,56,40
1740,44,41
1686,43,42
1718,25,43
1823,47,44
