attach,https://pow.iota.community:443 score: 54.129760414361954 scoreNorm: 0.631745312387806
5652,0
30803,1
16572,2
11361,3
15869,4
5434,5
16760,6
4402,7
24109,8
16946,9
4336,10
11495,11
13871,12
2064,13
5753,14
14224,15
13792,16
16170,17
24111,18
10389,19
1383,20
2542,21
34498,22
37488,23
4133,24
14067,25
44786,26
13300,27
27997,28
2885,30
25984,31
4795,32
6939,33
4551,34
4008,35
5197,36
5086,37
8331,38
6070,39
1759,40
3926,41
8596,42
9077,43
7830,44
-1,29
