attach,https://node02.gubiota.ch:443 score: 39.82920885181363 scoreNorm: 0.1700077476698786
1454,16599,0
418,1858,1
1390,12882,2
-1,-1,3
-1,-1,4
-1,-1,5
-1,-1,6
-1,-1,7
90207,62138,8
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
85795,50327,14
23310,97195,15
-1,-1,16
99833,26708,17
10341,80794,18
82637,4797,19
43330,43346,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
94552,54492,26
52481,59294,27
35749,85782,28
70119,37472,29
6887,54312,30
9558,66391,31
13955,68715,32
13853,50490,33
39308,19201,34
-1,-1,35
42873,114973,36
72352,91449,38
-1,-1,39
-1,-1,37
-1,-1,40
-1,-1,41
114489,26181,42
-1,-1,43
-1,-1,44
