attach,https://dyn.tangle-nodes.com:443 score: 75.89216102600099 scoreNorm: 0.39368467064612267
2532,8809,0
1208,576,1
967,1226,2
1329,195,3
797,230,4
807,235,5
604,1298,6
1237,152,7
868,657,8
-1,-1,9
-1,-1,10
472,21392,11
-1,-1,12
3092,208,13
7618,209,14
1292,816,15
733,209,16
-1,-1,17
1733,186,18
946,1117,19
1176,186,20
749,226,21
1415,10427,22
1027,301,23
8354,1429,24
606,200,25
1578,778,26
519,205,27
1108,172,28
1593,177,29
1365,320,30
3193,1067,31
-1,-1,33
-1,-1,32
1603,212,34
1268,839,35
14975,222,36
1229,226,37
832,630,38
1113,608,39
1079,11014,40
1296,12438,41
847,192,42
