attach,https://node02.gubiota.ch:443 score: 40.55793177676471 scoreNorm: 0.18325530807883683
20727,70965,0
1313,66913,1
22811,59609,2
-1,-1,4
61536,88966,3
-1,-1,5
-1,-1,6
18489,91528,7
72518,42972,8
40645,7122,9
31226,14591,10
623,63,11
-1,-1,12
98823,23215,13
13238,58013,14
16249,32964,16
74824,53962,15
12103,7656,17
936,80,18
816,68,19
2099,60,20
31744,3039,21
6338,73,22
11777,13432,23
798,80,24
27933,61143,25
51520,9929,26
11726,66,27
1555,91660,28
53082,9845,29
-1,-1,30
11166,100504,31
56339,35598,32
31840,21531,33
665,65,34
489,71,35
445,57,36
78489,29539,37
54018,4241,38
73844,2494,39
1052,61507,40
5944,84,41
34519,3906,42
39805,11607,43
1410,69824,44
