attach,https://trinity.iota-tangle.io:14265 score: 52.45499114692211 scoreNorm: 0.2370104968816205
612,101,0
567,81,1
317,101,2
257,70,3
585,100,4
515,87,5
554,85,6
995,91,7
750,79,8
458,76,9
943,86,10
296,83,11
647,103,12
352,83,13
588,83,14
530,102,15
810,82,16
1623,68,17
1011,115,18
772,69,19
461,83,20
641,87,21
268,66,22
725,74,23
1109,66,24
537,85,25
1010,90,26
419,82,27
525,69,28
395,96,29
789,63,30
715,571,31
730,65,32
691,2473,33
3986,143,34
4432,81,35
613,98,36
675,83,37
771,86,38
637,72,39
527,68,40
801,64,41
2140,77,42
