attach,https://hanspetzersnode.org:14267 score: 36.135805858299136 scoreNorm: 0.15938164055883436
439,67,0
738,97,1
394,72,2
819,82,3
618,67,4
627,57,5
4485,75,6
316,69,7
338,75,8
18552,91,9
232,90,10
354,56,11
515,73,12
437,68,13
305,71,14
411,75,15
368,54,16
691,72,17
580,57,18
31644,97,19
321,77,20
549,87,21
545,68,22
493,92,23
38534,79,24
389,74,25
566,85,26
721,86,27
761,52,28
251,85,29
477,75,30
599,53,31
1206,68,32
361,72,33
499,87,34
-1,-1,35
-1,-1,36
746,55,37
4916,71,38
4744,55,39
1490,85,40
534,74,41
3048,81,42
3080,1791,43
569,84,44
