attach,http://5.189.141.225:14265 score: 62.74252246856689 scoreNorm: 0.5400771849677328
102020,0
137690,1
91024,2
200452,3
264083,4
342141,5
398135,6
469976,7
610882,8
600342,9
607859,10
632768,11
630362,12
757259,13
755906,14
764382,15
843530,16
855736,17
850800,18
949998,19
996807,20
1116230,21
1116484,22
1237479,23
1212189,24
1245679,25
1215774,26
1200328,27
1271816,28
1272821,29
1180364,30
1160832,31
1176053,32
1131449,33
1161294,34
1045293,35
1073150,36
1083442,37
1129306,38
1091959,39
1047481,40
1034884,41
1067797,42
1124415,43
1125267,44
