attach,GREHEILSWRMGX9SUJESSHDVUOLVHYWCBZNUCUCLBRRIMXOIGFVGYROBC9AOWRRXTHZLIBJBBQFNZEONOJ https://node01.gubiota.ch:443 score: 0.3182495030708155
1833,0
3314,1
3300,2
3723,3
4482,4
2001,5
2897,6
1343,7
3987,8
3572,9
5451,10
1693,11
2039,12
4587,13
6234,14
6306,15
2852,16
2352,17
1940,18
3366,19
2838,20
3956,21
3236,22
2424,23
1826,24
3091,25
2395,26
6354,27
1277,28
4981,29
2003,30
1271,31
2798,32
3091,33
3117,34
3588,35
1477,36
1381,37
1922,38
1859,39
2185,40
1282,41
2432,42
4747,43
3237,44
