attach,TKR9SZBTNRAJWFGXNVFAVWQ9UEMVJEABFQIWXDBQGJHSJVWQNFZMVGFROAASPQPAJQWUUIBRFJXVC9JYG https://wallet1.iota.town:443 score: 0.9739391766054969
3450,0
3108,1
1446,2
2099,3
4837,4
1039,5
1979,6
-1,7
6650,8
3007,9
4407,10
1108,11
2912,12
1706,13
4382,14
7405,15
4864,16
9888,17
1883,18
3126,19
3942,20
985,21
1953,22
4570,23
1725,24
2680,25
1669,26
1871,27
7232,28
2130,29
1645,30
1269,31
6438,32
1684,33
1421,34
2411,35
1890,36
3034,37
7806,38
4138,39
2407,40
3228,41
3230,42
1816,43
1716,44
