attach,OOWKWTWBGL9XDQFZRN9IBDMXGBAALARTBUOWGXQZZQPCFZTFY9PZLBQIST9WXIGESAUCBNHQZBFWHUPIJ https://node01.gubiota.ch:443 score: 0.42859354002962374
4844,0
4795,1
11964,2
42995,3
22231,4
41527,5
30215,6
90171,7
99367,8
95911,9
103324,10
55754,12
129129,11
48791,13
92640,14
144776,15
124484,16
-1,17
184390,18
-1,19
-1,20
-1,21
-1,22
-1,23
-1,24
-1,25
-1,26
-1,28
-1,27
-1,29
-1,30
-1,32
-1,33
-1,31
-1,34
-1,35
-1,36
-1,37
-1,38
-1,39
-1,40
-1,42
-1,41
