attach,https://wallet2.iota.town:443 score: 106.7555974960327 scoreNorm: 0.489933021565369
-1,-1,2
-1,-1,1
-1,-1,0
-1,-1,4
-1,-1,5
-1,-1,6
1570320393921,1570321280912,1570321498118,3
1570320784240,1570321437258,1570321685023,8
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,10
1570320774229,1570321523728,1570321896133,7
1570321014450,1570321816565,1570321903407,9
1570321304870,1570321981859,1570322007239,14
-1,-1,15
1570321495078,1570322082073,1570322106551,16
1570321545124,1570322229745,1570322503829,17
-1,-1,22
-1,-1,23
-1,-1,21
-1,-1,26
-1,-1,25
1570321615199,1570322298630,1570322744479,18
-1,-1,27
-1,-1,28
1570321675246,1570322401759,1570322826423,19
1570321735300,1570322503585,1570322846759,20
1570321975905,1570322758604,1570322908184,24
1570322256129,1570322910142,1570322999287,29
1570322396281,1570323087599,1570323108306,30
1570322456525,1570323114471,1570323121763,31
-1,-1,33
-1,-1,34
1570322506606,1570323218439,1570323226087,32
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,36
-1,-1,41
-1,-1,35
-1,-1,44
1570323166803,1570323992397,1570324064774,42
1570323227839,1570324064425,1570324114430,43
