attach,https://nodes.thetangle.org:443 score: 89.05902667442065 scoreNorm: 0.4069178010799934
302,3382,0
664,2602,1
730,2769,2
1669,1774,3
437,188,4
-1,-1,5
1683,38710,6
-1,-1,7
927,2708,8
868,634,9
-1,-1,10
403,18844,11
549,25687,12
25834,2982,13
462,3682,14
478,30103,15
1681,1243,16
498,3024,17
374,8425,18
547,14384,19
808,18633,20
554,26625,21
717,30352,22
638,1327,23
501,1233,24
-1,-1,25
442,1586,26
1319,2944,27
616,13857,28
1519,14534,29
3406,33648,30
1650,24407,31
-1,-1,32
1547,3430,33
368,888,34
788,739,35
1520,9592,36
-1,-1,38
509,15140,40
-1,-1,39
675,22584,41
639,25567,42
1407,2019,43
814,2433,44
-1,-1,37
