attach,http://173.249.43.185:14265 score: 29.001539663661724 scoreNorm: 0.2814130432903016 SEZJHPJ9OUMRFGSDGEOAADGCRNNJXFUPWSBCVJKGBACKNDYYELUPBWOZVQAWNJPRGPYUH9XWJOWIFEOBG
1571945629978,-1,-1,0
1571945841580,1571945886818,-1,2
1571945797361,1571945887532,-1,1
1571946264105,-1,-1,3
1571946285015,-1,-1,4
1571946326169,-1,-1,5
1571946671643,-1,-1,6
1571946735640,-1,-1,7
1571946822716,-1,-1,8
1571946862857,-1,-1,9
1571946929994,-1,-1,10
1571947015208,-1,-1,11
1571947111448,-1,-1,13
1571947070528,1571947179782,-1,12
1571947197449,-1,-1,14
1571947329294,-1,-1,16
1571947263311,-1,-1,15
1571947370673,-1,-1,17
1571947457119,1571947467550,-1,18
1571947521928,-1,-1,19
1571947586889,-1,-1,20
1571947651172,-1,-1,21
1571947718259,-1,-1,22
1571947780787,-1,-1,23
1571947824759,-1,-1,24
1571947867776,-1,-1,25
1571948111625,1571948124262,-1,26
1571948175538,-1,-1,27
1571948328026,-1,-1,28
1571948415191,-1,-1,29
1571948490182,-1,-1,30
1571948553874,-1,-1,31
1571948596283,-1,-1,32
1571948680176,-1,-1,33
1571948743952,-1,-1,34
1571948865666,1571948870840,1571948898507,36
1571948789883,-1,-1,35
1571948937718,-1,-1,37
1571948968889,1571949056948,1571949154462,38
1571949013517,1571949056462,-1,39
1571949118791,-1,-1,40
1571949149337,-1,-1,41
1571949299849,1571949340262,-1,43
1571949258301,1571949340551,-1,42
1571949383614,-1,-1,44
