attach,XVBSTEDQEYPKYEMYJPRYJFZQZAHJYBFAVXBUAVIUUYJEOG9NRUEU9WZWJNVOXYLDY9O9DNACDRWW9CSOW https://node-iota.org:14267 score: 0.5136898770241588
14439,0
3160,1
12198,2
9077,3
21082,4
57785,5
64525,6
86987,7
85121,8
69577,9
141147,10
112551,11
-1,12
-1,13
113385,14
-1,15
118003,16
-1,17
-1,18
-1,19
100193,20
-1,21
-1,22
101684,23
55496,25
131098,24
117426,26
109941,27
118390,28
-1,29
153260,30
-1,31
148421,32
-1,33
-1,34
137507,35
-1,38
-1,36
144865,37
-1,40
-1,39
-1,41
-1,42
103288,43
117510,44
