attach,EEXJ9DEKZJHDAQKQRD9ZMJYRVNDIFPKFMSSMNJHXJUFO9GBQCTIVQKTMOTOPO9HPWXBEYAYASOUASXBZL https://pow.iota.community:443 score: 0.522656840345161
9529,0
13877,1
9396,2
30240,3
-1,4
5856,5
21252,6
8842,7
3215,8
5820,9
6034,10
59585,11
40181,12
66461,13
95295,14
77380,15
84821,16
121526,17
-1,18
150701,19
-1,20
105173,21
-1,22
-1,23
-1,24
144782,25
-1,26
-1,27
118657,28
-1,29
73527,30
112809,31
-1,32
121890,33
-1,34
-1,35
-1,36
-1,37
-1,38
-1,40
-1,39
-1,41
140074,42
119396,43
