attach,IPTCEKMBEIXOTKKXARYQRFTMVTTADQGALDGTWBGTUOLHRLQYLTWIBSFQNDFPHRPF9WKCXKAKLBBXFQZIV https://node02.gubiota.ch:443 score: 0.33716299006143463
6919,0
11264,1
44977,2
5796,3
9561,4
6754,5
5225,6
-1,7
14193,8
16311,9
15518,10
13231,11
10912,12
33109,13
25314,14
30096,15
53538,16
44244,17
67552,18
72983,19
120034,20
138086,21
-1,22
-1,23
108791,24
-1,25
129546,26
117561,27
-1,28
-1,29
104934,30
-1,31
-1,32
-1,33
-1,34
-1,35
-1,36
-1,37
-1,38
91746,39
-1,40
148900,41
-1,43
-1,44
-1,42
