attach,https://wallet2.iota.town:443 score: 101.60031366348265 scoreNorm: 0.4220590839219913
74957,154370,0
4401,191423,1
69425,308776,2
-1,-1,4
-1,-1,3
480507,57841,5
-1,-1,9
444943,239943,6
409000,284566,7
337206,487339,8
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
566071,251387,10
-1,-1,21
-1,-1,22
-1,-1,20
-1,-1,23
-1,-1,24
-1,-1,19
-1,-1,18
-1,-1,25
-1,-1,26
552472,153817,15
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
481931,287838,16
445158,431219,17
-1,-1,31
-1,-1,32
598309,22640,33
527566,111614,34
334042,467505,35
227397,479773,36
-1,-1,39
-1,-1,38
-1,-1,37
-1,-1,43
-1,-1,44
-1,-1,42
-1,-1,41
357747,550467,40
