attach,https://nodes.thetangle.org:443 score: 81.99732778484902 scoreNorm: 0.3406260847141792
-1,-1,0
340,9241,1
547,10077,2
435,1491,3
918,16774,4
844,8285,5
443,31070,6
452,20074,7
906,41394,8
-1,-1,9
409,2095,10
673,6363,11
673,1805,12
570,8807,13
388,3572,14
420,5205,15
458,2954,16
863,1965,17
594,3624,18
778,8627,20
984,8246,21
793,17041,22
835,2017,23
680,2347,24
1044,12713,25
919,17298,26
392,24279,27
609,28164,28
-1,-1,19
444,846,29
449,1140,30
741,1438,31
524,3814,32
668,569,33
729,4290,34
460,20815,35
349,14484,36
592,18967,37
1142,2153,38
1154,305,39
549,2457,40
1381,2243,41
409,1305,42
