attach,https://wallet2.iota.town:443 score: 101.60031366348265 scoreNorm: 0.4220590839219913
-1,-1,0
-1,-1,1
-1,-1,2
-1,-1,8
-1,-1,7
-1,-1,9
459247,153793,3
305749,533536,6
366559,383064,5
397013,345348,4
-1,-1,11
-1,-1,12
-1,-1,13
548607,291382,10
-1,-1,20
-1,-1,21
-1,-1,19
-1,-1,22
-1,-1,23
-1,-1,18
-1,-1,24
-1,-1,25
-1,-1,26
579786,103598,14
-1,-1,27
-1,-1,28
549233,243615,15
-1,-1,29
-1,-1,30
458584,323464,16
397694,450767,17
-1,-1,31
-1,-1,32
256662,84335,36
556961,84895,33
495870,235457,34
343224,396294,35
-1,-1,39
-1,-1,40
-1,-1,38
-1,-1,37
-1,-1,43
-1,-1,44
-1,-1,42
-1,-1,41
