attach,https://nodes.thetangle.org:443 score: 81.99732778484902 scoreNorm: 0.3406260847141792
584,39936,0
751,3104,1
483,12180,2
655,1414,3
598,2136,4
1262,9463,5
489,12602,6
1312,32414,7
520,26379,8
585,36883,9
557,31961,10
687,28862,11
677,6209,12
639,10599,13
495,499,14
671,2105,15
1433,1484,16
595,583,17
624,1819,18
450,36438,19
441,10786,20
558,16677,21
370,47996,22
505,59681,23
1221,3248,24
522,7522,25
674,2779,26
911,5778,27
1090,4759,28
513,10526,29
368,19978,30
1879,37078,31
1244,1521,32
272,3546,34
-1,-1,33
1272,700,35
310,961,36
486,8436,37
291,17232,38
273,4664,39
283,2929,41
381,20286,42
447,7176,43
-1,-1,40
