attach,DIVIASJBUBDNYDT9MHXRFQAHJ9YNZ9VUDIBGHWBQKKARQTVZILKMPEPKROAQD9CMVPEJBWMSILGJGDQZZ https://mama.iota.family:14267 score: 0.02991367353824134
51134,0
74636,1
78675,2
90969,3
144634,4
133139,5
-1,9
-1,10
348656,6
289668,7
-1,15
138878,12
-1,16
510576,8
401541,11
304973,14
406417,13
172683,17
-1,19
182507,18
-1,20
-1,21
-1,22
-1,24
-1,26
-1,25
-1,29
-1,30
403973,23
371212,27
409788,28
-1,31
-1,34
59595,33
-1,35
-1,36
522710,32
-1,37
-1,40
-1,41
-1,42
356143,38
324893,39
-1,43
-1,44
