attach,FPTXMZHXXRIDLJQKGTLQBTDZGYTKCBCD9HEMHWBTBOUFXCIPSXKBKSLROYMXXASDHLUDBSTIXUOFWUHE9 https://nodes.thetangle.org:443 score: 0.8763637757131708
25522,0
48138,1
83253,2
92788,3
125471,4
341614,5
386794,6
-1,7
-1,11
-1,12
414394,8
-1,13
-1,14
404745,9
425136,10
-1,16
-1,17
-1,19
-1,18
-1,15
-1,20
-1,21
-1,23
-1,24
-1,25
-1,26
-1,22
164688,28
-1,31
-1,32
-1,34
-1,27
-1,33
526344,29
541528,30
173874,36
-1,38
274280,35
410369,37
277202,40
450855,39
157721,44
230143,43
374634,41
469926,42
