attach,ROBVKIBSBQUINKZVHKHFKDCQEEYEGTXYVLEZY9PMLTJOTHPDCJCHJYOLX9TZYWMNFLPMVRMBEQUHTCWFW https://ultranode.iotatoken.nl:443 score: 0.6222706467367373
168418,0
125470,2
341143,1
404006,3
150894,6
134096,7
442140,4
404832,5
320670,8
-1,13
-1,14
-1,15
357867,9
331302,10
423180,11
-1,17
-1,18
423195,12
-1,19
-1,20
337401,16
-1,21
-1,22
-1,25
-1,24
-1,23
-1,26
-1,27
173598,28
-1,31
-1,32
-1,33
-1,34
327935,29
309530,30
-1,36
-1,38
-1,39
-1,40
293158,35
-1,41
-1,44
394952,37
188547,43
345690,42
