attach,https://dyn.tangle-nodes.com:443 score: 135.14671339988706 scoreNorm: 0.6174961201958125
-1,-1,0
642,6780,1
-1,-1,2
-1,-1,3
-1,-1,4
491,18351,5
-1,-1,6
2550,7629,7
-1,-1,9
-1,-1,8
1223,22332,10
-1,-1,11
17839,24887,12
1401,1024,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
659,4634,18
-1,-1,19
-1,-1,20
-1,-1,21
1847,2988,22
-1,-1,23
-1,-1,24
-1,-1,25
476,8525,26
521,11566,27
-1,-1,28
898,18643,29
-1,-1,30
-1,-1,31
1307,992,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
