attach,https://dyn.tangle-nodes.com:443 score: 135.14671339988706 scoreNorm: 0.6174961201958125
1444,12605,0
6719,9412,1
-1,-1,2
975,2330,3
-1,-1,4
-1,-1,5
-1,-1,6
-1,-1,7
1164,1922,8
1080,3184,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
1242,7989,15
-1,-1,16
-1,-1,17
1515,8891,18
1122,6270,19
-1,-1,20
-1,-1,21
745,12926,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
955,13566,28
1133,1972,29
569,2228,30
418,3455,31
708,6427,32
-1,-1,33
-1,-1,34
-1,-1,36
-1,-1,35
-1,-1,37
1240,1072,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
