attach,https://node-iota.org:14267 score: 84.75119248777628 scoreNorm: 0.3647563453848257
6057,70,0
4552,2919,1
1596,102,2
433,49,3
1189,61,4
642,50,5
29854,31766,6
612,91,7
2968,49,8
36591,14737,9
7042,63,10
844,72,11
5378,664,12
517,81,13
1396,93,14
34604,11415,15
4038,81,16
840,74,17
766,86,18
1275,53,19
44785,1369,20
6217,6935,21
913,72,22
9877,4613,23
1693,71,24
9071,549,25
474,78,26
13561,59,27
47098,29676,28
948,682,29
17359,48,30
418,61,31
653,49,32
5787,7950,33
17740,6160,34
4630,689,35
8726,2411,36
1045,67,37
5175,524,38
598,80,39
16340,59,40
2438,2847,41
695,438,42
