attach,http://node02.iotatoken.nl:14265 score: 40.48029994419643 scoreNorm: 0.19555127740354672
485,63,0
910,62,1
668,62,2
451,62,3
649,62,4
402,62,5
454,63,6
971,62,7
740,62,8
633,64,9
806,62,10
963,63,11
706,63,12
613,84,13
339,62,14
677,63,15
450,62,16
508,63,17
362,63,18
590,63,19
424,63,20
748,63,21
376,62,22
860,63,23
665,63,24
652,313,25
730,64,26
1302,1175,27
1372,63,28
677,64,29
500,63,30
454,63,31
987,62,32
12266,62,33
456,63,34
595,62,35
815,448,36
345,64,37
633,62,38
518,62,39
1018,62,40
1036,63,41
733,62,42
