attach,https://dyn.tangle-nodes.com:443 score: 83.41516223007373 scoreNorm: 0.36785960181556315
-1,-1,0
-1,-1,1
3441,11164,2
-1,-1,3
-1,-1,4
-1,-1,5
1312,1098,6
1607,12389,7
1359,1656,8
2318,14556,9
-1,-1,11
-1,-1,10
-1,-1,12
909,1442,13
851,1538,14
-1,-1,15
1099,1121,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
921,18248,23
671,2092,24
31969,5088,25
-1,-1,26
-1,-1,27
1367,1090,28
32999,18834,29
-1,-1,30
1364,8808,31
1449,4402,32
10420,16708,33
1908,4940,34
991,2637,35
-1,-1,36
-1,-1,37
1267,5212,38
1661,9136,39
-1,-1,40
17335,13177,41
-1,-1,42
-1,-1,43
1577,1107,44
