attach,9LPJTNVICZGWCTVGUABZXWINEQGPVIOQQPCNQQJXWYVBUDGFSEYRHYGYHVCBKFWBLDEUCPTVDCJCVOQ9J https://perma.iota.partners:443 score: 0.5595812240545295
3108,0
2030,1
3107,2
1575,3
1369,4
2022,5
2414,6
5132,7
3995,8
3243,9
4254,10
2026,11
1429,12
3710,13
5320,14
6918,15
1636,16
1925,17
2160,18
3267,19
1308,20
2782,21
1581,22
2494,23
3944,24
1366,25
1907,26
2491,27
4243,28
2339,29
3110,30
2442,31
3115,32
1777,33
1077,34
1689,35
2159,36
1030,37
1489,38
4692,39
3928,40
2838,41
3716,42
3347,43
1117,44
