attach,JQQAQNYVMYDOVAIAQXDAKQPCTIBTXOHOVAMYFUFHRVSXFI9LHSUFUYULTFTJJIQZDJQGQSLCYQZKDPFSQ https://node-iota.org:14267 score: 0.5374654215264456
2422,0
1055,1
3236,2
4532,3
2207,4
1953,5
2222,6
1790,7
2480,8
3671,9
1359,10
2808,11
2035,12
1123,13
3437,14
4728,15
1995,16
2582,17
2187,18
4089,19
2778,20
3051,21
2653,22
6212,23
669,24
3463,25
1361,26
1528,27
7155,28
3855,29
1266,30
1023,31
3849,32
9283,33
1330,34
2817,35
3020,36
1656,37
3268,38
834,39
3316,40
3356,41
828,42
