attach,FPOXUWHVAOCLWSVLSJ9SQGKMUEZFJKCJN9FWDZYAOMNZKANZTGWWKUUXMWHGKGJNNEVYYIAYZRZVAJCUO https://nodes.thetangle.org:443 score: 1
3800,0
1233,1
2743,2
1446,3
3285,4
2178,5
1909,6
2336,7
1854,8
1674,9
1580,10
2651,11
3324,12
1728,13
3083,14
7522,15
1323,16
2240,17
4937,18
2610,19
1737,20
1604,21
824,22
1393,23
3296,24
2394,25
2331,26
3356,27
3661,28
1930,29
2150,30
1597,31
4606,32
2519,33
3500,34
3927,35
3058,36
2557,37
3238,38
2155,39
3372,40
1311,41
3278,42
1991,43
2348,44
