attach,https://node01.gubiota.ch:443 score: 38.39248356320395 scoreNorm: 0.16519149397587687
1204,84,0
1796,77,1
1020,75,2
-1,-1,3
59226,350,4
23279,44208,5
14366,43528,6
1020,58,7
877,91,8
35590,2606,9
48458,36816,10
80700,42093,11
-1,-1,12
-1,-1,13
-1,-1,14
72519,48621,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,20
-1,-1,19
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,26
-1,-1,25
-1,-1,28
-1,-1,27
-1,-1,29
-1,-1,32
-1,-1,31
-1,-1,30
-1,-1,33
-1,-1,35
-1,-1,34
-1,-1,37
-1,-1,36
88164,97695,38
-1,-1,39
-1,-1,41
-1,-1,40
-1,-1,42
79416,54796,43
